processador-3  | 2026-09-25T22:56:09.993995767Z 2026-09-25 22:56:09,993 WARNING [processador] ALERTA maquina=producao-fd72ee-m4 setor=producao temperatura_c=109.42 > limite 85.00 (partição=2 offset=2832)
processador-3  | 2026-09-25T22:56:16.993565004Z 2026-09-25 22:56:16,993 WARNING [processador] ALERTA maquina=producao-fd72ee-m2 setor=producao energia_kw=51.55 > limite 45.00 (partição=0 offset=2015)
processador-3  | 2026-09-25T22:56:17.096131551Z 2026-09-25 22:56:17,095 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m5 setor=refrigeracao temperatura_c=112.15 > limite 85.00 (partição=0 offset=2017)
processador-3  | 2026-09-25T22:56:17.992241559Z 2026-09-25 22:56:17,991 WARNING [processador] ALERTA maquina=producao-fd72ee-m2 setor=producao energia_kw=55.47 > limite 45.00 (partição=0 offset=2019)
processador-3  | 2026-09-25T22:56:18.992714406Z 2026-09-25 22:56:18,992 INFO [processador] ESTATISTICA processador=6bf78c300651 partições=[0, 2] processadas=100 (10.0 msg/s) alertas=4 duplicadas=0 por_particao={0: 40, 2: 60}
processador-3  | 2026-09-25T22:56:20.993922703Z 2026-09-25 22:56:20,993 WARNING [processador] ALERTA maquina=producao-fd72ee-m8 setor=producao vibracao_mm_s=12.01 > limite 7.10 (partição=2 offset=2899)
processador-3  | 2026-09-25T22:56:21.995164631Z 2026-09-25 22:56:21,994 WARNING [processador] ALERTA maquina=producao-fd72ee-m3 setor=producao temperatura_c=96.91 > limite 85.00 (partição=2 offset=2903)
processador-3  | 2026-09-25T22:56:28.996417536Z 2026-09-25 22:56:28,995 INFO [processador] ESTATISTICA processador=6bf78c300651 partições=[0, 2] processadas=100 (10.0 msg/s) alertas=2 duplicadas=0 por_particao={0: 40, 2: 60}
processador-3  | 2026-09-25T22:56:29.996033288Z 2026-09-25 22:56:29,995 WARNING [processador] ALERTA maquina=producao-fd72ee-m8 setor=producao vibracao_mm_s=11.65 > limite 7.10 (partição=2 offset=2953)
processador-3  | 2026-09-25T22:56:35.094014064Z 2026-09-25 22:56:35,093 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m5 setor=refrigeracao temperatura_c=109.88 > limite 85.00 (partição=0 offset=2089)
processador-3  | 2026-09-25T22:56:38.999175402Z 2026-09-25 22:56:38,998 INFO [processador] ESTATISTICA processador=6bf78c300651 partições=[0, 2] processadas=101 (10.1 msg/s) alertas=2 duplicadas=0 por_particao={0: 40, 2: 61}
processador-3  | 2026-09-25T22:56:39.101829905Z 2026-09-25 22:56:39,101 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m8 setor=refrigeracao vibracao_mm_s=11.89 > limite 7.10 (partição=2 offset=3008)
processador-3  | 2026-09-25T22:56:49.096600774Z 2026-09-25 22:56:49,095 INFO [processador] ESTATISTICA processador=6bf78c300651 partições=[0, 2] processadas=103 (10.2 msg/s) alertas=1 duplicadas=0 por_particao={0: 41, 2: 62}
processador-3  | 2026-09-25T22:56:52.995836434Z 2026-09-25 22:56:52,995 WARNING [processador] ALERTA maquina=producao-fd72ee-m4 setor=producao temperatura_c=92.80 > limite 85.00 (partição=2 offset=3090)
processador-3  | 2026-09-25T22:56:53.949497290Z 2026-09-25 22:56:53,949 WARNING [processador] ALERTA maquina=empacotamento-b5c981-m8 setor=empacotamento energia_kw=49.13 > limite 45.00 (partição=2 offset=3094)
processador-3  | 2026-09-25T22:56:57.011036203Z 2026-09-25 22:56:57,010 WARNING [processador] ALERTA maquina=producao-fd72ee-m4 setor=producao energia_kw=54.95 > limite 45.00 (partição=2 offset=3114)
processador-3  | 2026-09-25T22:56:59.943205828Z 2026-09-25 22:56:59,942 INFO [processador] ESTATISTICA processador=6bf78c300651 partições=[0, 2] processadas=103 (9.5 msg/s) alertas=3 duplicadas=0 por_particao={0: 42, 2: 61}
processador-2  | 2026-09-25T22:48:57.071850975Z 2026-09-25 22:48:57,070 INFO [processador] processador 03ebfdfe1e89 entrou no grupo; limites={'temperatura_c': 85.0, 'vibracao_mm_s': 7.1, 'energia_kw': 45.0}
processador-2  | 2026-09-25T22:49:02.485601237Z 2026-09-25 22:49:02,485 INFO [processador] REBALANCO processador=03ebfdfe1e89 partições atribuidas: [] -> responsável por []
processador-2  | 2026-09-25T22:49:05.509412313Z 2026-09-25 22:49:05,509 INFO [processador] REBALANCO processador=03ebfdfe1e89 partições atribuidas: [1, 3] -> responsável por [1, 3]
processador-2  | 2026-09-25T22:49:05.933368200Z 2026-09-25 22:49:05,933 WARNING [processador] ALERTA maquina=empacotamento-b5c981-m6 setor=empacotamento temperatura_c=88.51 > limite 85.00 (partição=3 offset=41)
processador-2  | 2026-09-25T22:49:07.066933143Z 2026-09-25 22:49:07,066 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m3 setor=refrigeracao energia_kw=65.07 > limite 45.00 (partição=3 offset=46)
processador-2  | 2026-09-25T22:49:07.072718733Z 2026-09-25 22:49:07,072 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=34 (3.4 msg/s) alertas=2 duplicadas=0 por_particao={1: 14, 3: 20}
processador-2  | 2026-09-25T22:49:09.927342014Z 2026-09-25 22:49:09,926 WARNING [processador] ALERTA maquina=empacotamento-b5c981-m3 setor=empacotamento vibracao_mm_s=10.44 > limite 7.10 (partição=3 offset=56)
processador-2  | 2026-09-25T22:49:15.063247840Z 2026-09-25 22:49:15,062 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m6 setor=refrigeracao temperatura_c=100.11 > limite 85.00 (partição=1 offset=59)
processador-2  | 2026-09-25T22:49:17.070350216Z 2026-09-25 22:49:17,070 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m4 setor=refrigeracao energia_kw=57.93 > limite 45.00 (partição=1 offset=64)
