kafka-2-1  | 2026-09-25T22:48:39.674563831Z ===> User
kafka-2-1  | 2026-09-25T22:48:39.676600983Z uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)
kafka-2-1  | 2026-09-25T22:48:39.676792318Z ===> Setting default values of environment variables if not already set.
kafka-2-1  | 2026-09-25T22:48:39.677061656Z ===> Configuring ...
kafka-2-1  | 2026-09-25T22:48:39.677082809Z Running in KRaft mode...
kafka-2-1  | 2026-09-25T22:48:39.677402819Z ===> Launching ... 
kafka-2-1  | 2026-09-25T22:48:39.680611711Z ===> Using provided cluster id 5L6g3nShT-eMCtK--X86sw ...
kafka-2-1  | 2026-09-25T22:48:44.419115520Z [2026-09-25 22:48:44,417] INFO Registered kafka:type=kafka.Log4jController MBean (kafka.utils.Log4jControllerRegistration$)
kafka-2-1  | 2026-09-25T22:48:44.859626483Z [2026-09-25 22:48:44,859] INFO Registered signal handlers for TERM, INT, HUP (org.apache.kafka.common.utils.LoggingSignalHandler)
kafka-2-1  | 2026-09-25T22:48:44.865984622Z [2026-09-25 22:48:44,864] INFO [ControllerServer id=2] Starting controller (kafka.server.ControllerServer)
kafka-2-1  | 2026-09-25T22:48:45.225678687Z [2026-09-25 22:48:45,225] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
kafka-2-1  | 2026-09-25T22:48:45.301871895Z [2026-09-25 22:48:45,300] INFO [SocketServer listenerType=CONTROLLER, nodeId=2] Created data-plane acceptor and processors for endpoint : ListenerName(CONTROLLER) (kafka.network.SocketServer)
kafka-2-1  | 2026-09-25T22:48:45.314238030Z [2026-09-25 22:48:45,312] INFO CONTROLLER: resolved wildcard host to kafka-2 (org.apache.kafka.metadata.ListenerInfo)
kafka-2-1  | 2026-09-25T22:48:45.326021332Z [2026-09-25 22:48:45,325] INFO authorizerStart completed for endpoint CONTROLLER. Endpoint is now READY. (org.apache.kafka.server.network.EndpointReadyFutures)
kafka-2-1  | 2026-09-25T22:48:45.330495844Z [2026-09-25 22:48:45,329] INFO [SharedServer id=2] Starting SharedServer (kafka.server.SharedServer)
kafka-2-1  | 2026-09-25T22:48:45.440209759Z [2026-09-25 22:48:45,439] INFO [LogLoader partition=__cluster_metadata-0, dir=/var/lib/kafka/data] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka-2-1  | 2026-09-25T22:48:45.441358524Z [2026-09-25 22:48:45,440] INFO [LogLoader partition=__cluster_metadata-0, dir=/var/lib/kafka/data] Reloading from producer snapshot and rebuilding producer state from offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka-2-1  | 2026-09-25T22:48:45.457602239Z [2026-09-25 22:48:45,457] INFO [LogLoader partition=__cluster_metadata-0, dir=/var/lib/kafka/data] Producer state recovery took 0ms for snapshot load and 0ms for segment recovery from offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
