kafka-1-1  | 2026-09-25T22:48:39.795100661Z ===> User
kafka-1-1  | 2026-09-25T22:48:39.801549469Z uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)
kafka-1-1  | 2026-09-25T22:48:39.804240607Z ===> Setting default values of environment variables if not already set.
kafka-1-1  | 2026-09-25T22:48:39.804295425Z ===> Configuring ...
kafka-1-1  | 2026-09-25T22:48:39.804301693Z Running in KRaft mode...
kafka-1-1  | 2026-09-25T22:48:39.804305576Z ===> Launching ... 
kafka-1-1  | 2026-09-25T22:48:39.808691764Z ===> Using provided cluster id 5L6g3nShT-eMCtK--X86sw ...
kafka-1-1  | 2026-09-25T22:48:44.358438144Z [2026-09-25 22:48:44,357] INFO Registered kafka:type=kafka.Log4jController MBean (kafka.utils.Log4jControllerRegistration$)
kafka-1-1  | 2026-09-25T22:48:44.736357781Z [2026-09-25 22:48:44,735] INFO Registered signal handlers for TERM, INT, HUP (org.apache.kafka.common.utils.LoggingSignalHandler)
kafka-1-1  | 2026-09-25T22:48:44.763969870Z [2026-09-25 22:48:44,746] INFO [ControllerServer id=1] Starting controller (kafka.server.ControllerServer)
kafka-1-1  | 2026-09-25T22:48:45.159680881Z [2026-09-25 22:48:45,159] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
kafka-1-1  | 2026-09-25T22:48:45.243632303Z [2026-09-25 22:48:45,240] INFO [SocketServer listenerType=CONTROLLER, nodeId=1] Created data-plane acceptor and processors for endpoint : ListenerName(CONTROLLER) (kafka.network.SocketServer)
kafka-1-1  | 2026-09-25T22:48:45.259088863Z [2026-09-25 22:48:45,258] INFO CONTROLLER: resolved wildcard host to kafka-1 (org.apache.kafka.metadata.ListenerInfo)
kafka-1-1  | 2026-09-25T22:48:45.273210757Z [2026-09-25 22:48:45,272] INFO authorizerStart completed for endpoint CONTROLLER. Endpoint is now READY. (org.apache.kafka.server.network.EndpointReadyFutures)
kafka-1-1  | 2026-09-25T22:48:45.276828487Z [2026-09-25 22:48:45,276] INFO [SharedServer id=1] Starting SharedServer (kafka.server.SharedServer)
kafka-1-1  | 2026-09-25T22:48:45.397271250Z [2026-09-25 22:48:45,396] INFO [LogLoader partition=__cluster_metadata-0, dir=/var/lib/kafka/data] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka-1-1  | 2026-09-25T22:48:45.398844165Z [2026-09-25 22:48:45,398] INFO [LogLoader partition=__cluster_metadata-0, dir=/var/lib/kafka/data] Reloading from producer snapshot and rebuilding producer state from offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka-1-1  | 2026-09-25T22:48:45.415573541Z [2026-09-25 22:48:45,414] INFO [LogLoader partition=__cluster_metadata-0, dir=/var/lib/kafka/data] Producer state recovery took 0ms for snapshot load and 0ms for segment recovery from offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka-1-1  | 2026-09-25T22:48:45.442142590Z [2026-09-25 22:48:45,441] INFO Initialized snapshots with IDs SortedSet() from /var/lib/kafka/data/__cluster_metadata-0 (kafka.raft.KafkaMetadataLog$)
kafka-1-1  | 2026-09-25T22:48:45.460001990Z [2026-09-25 22:48:45,459] INFO [raft-expiration-reaper]: Starting (kafka.raft.TimingWheelExpirationService$ExpiredOperationReaper)
kafka-1-1  | 2026-09-25T22:48:45.466631084Z [2026-09-25 22:48:45,466] INFO [RaftManager id=1] Reading KRaft snapshot and log as part of the initialization (org.apache.kafka.raft.KafkaRaftClient)
kafka-1-1  | 2026-09-25T22:48:45.474060533Z [2026-09-25 22:48:45,473] INFO [RaftManager id=1] Starting voters are VoterSet(voters={1=VoterNode(voterKey=ReplicaKey(id=1, directoryId=<undefined>), listeners=Endpoints(endpoints={ListenerName(CONTROLLER)=kafka-1/172.18.0.4:9093}), supportedKRaftVersion=SupportedVersionRange[min_version:0, max_version:0]), 2=VoterNode(voterKey=ReplicaKey(id=2, directoryId=<undefined>), listeners=Endpoints(endpoints={ListenerName(CONTROLLER)=kafka-2/172.18.0.2:9093}), supportedKRaftVersion=SupportedVersionRange[min_version:0, max_version:0]), 3=VoterNode(voterKey=ReplicaKey(id=3, directoryId=<undefined>), listeners=Endpoints(endpoints={ListenerName(CONTROLLER)=kafka-3/172.18.0.3:9093}), supportedKRaftVersion=SupportedVersionRange[min_version:0, max_version:0])}) (org.apache.kafka.raft.KafkaRaftClient)
kafka-1-1  | 2026-09-25T22:48:45.476769880Z [2026-09-25 22:48:45,475] INFO [RaftManager id=1] Starting request manager with static voters: [kafka-1:9093 (id: 1 rack: null isFenced: false), kafka-2:9093 (id: 2 rack: null isFenced: false), kafka-3:9093 (id: 3 rack: null isFenced: false)] (org.apache.kafka.raft.KafkaRaftClient)
kafka-1-1  | 2026-09-25T22:48:45.492138240Z [2026-09-25 22:48:45,491] INFO [RaftManager id=1] Attempting durable transition to UnattachedState(epoch=0, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1, 2, 3], electionTimeoutMs=1282, highWatermark=Optional.empty) from null (org.apache.kafka.raft.QuorumState)
kafka-1-1  | 2026-09-25T22:48:45.514617636Z [2026-09-25 22:48:45,513] INFO [RaftManager id=1] Completed transition to UnattachedState(epoch=0, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1, 2, 3], electionTimeoutMs=1282, highWatermark=Optional.empty) from null (org.apache.kafka.raft.QuorumState)
kafka-1-1  | 2026-09-25T22:48:45.524661130Z [2026-09-25 22:48:45,524] INFO [kafka-1-raft-outbound-request-thread]: Starting (org.apache.kafka.raft.KafkaNetworkChannel$SendThread)
kafka-1-1  | 2026-09-25T22:48:45.528882629Z [2026-09-25 22:48:45,528] INFO [kafka-1-raft-io-thread]: Starting (org.apache.kafka.raft.KafkaRaftClientDriver)
kafka-1-1  | 2026-09-25T22:48:45.556395200Z [2026-09-25 22:48:45,555] INFO [MetadataLoader id=1] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka-1-1  | 2026-09-25T22:48:45.556692614Z [2026-09-25 22:48:45,556] INFO [RaftManager id=1] Registered the listener org.apache.kafka.image.loader.MetadataLoader@1025196378 (org.apache.kafka.raft.KafkaRaftClient)
