kafka-3-1  | 2026-09-25T22:48:45.874761024Z [2026-09-25 22:48:45,874] INFO [ControllerServer id=3] Finished waiting for controller quorum voters future (kafka.server.ControllerServer)
kafka-3-1  | 2026-09-25T22:48:45.887457365Z [2026-09-25 22:48:45,886] INFO [RaftManager id=3] Registered the listener org.apache.kafka.image.loader.MetadataLoader@1102664235 (org.apache.kafka.raft.KafkaRaftClient)
kafka-3-1  | 2026-09-25T22:48:45.947335031Z [2026-09-25 22:48:45,946] INFO [RaftManager id=3] Registered the listener org.apache.kafka.controller.QuorumController$QuorumMetaLogListener@1568499637 (org.apache.kafka.raft.KafkaRaftClient)
kafka-3-1  | 2026-09-25T22:48:45.953345847Z [2026-09-25 22:48:45,952] INFO [controller-3-ThrottledChannelReaper-Fetch]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-3-1  | 2026-09-25T22:48:45.963830156Z [2026-09-25 22:48:45,956] INFO [controller-3-ThrottledChannelReaper-Produce]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-3-1  | 2026-09-25T22:48:45.963886233Z [2026-09-25 22:48:45,960] INFO [controller-3-ThrottledChannelReaper-ControllerMutation]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-3-1  | 2026-09-25T22:48:45.973498595Z [2026-09-25 22:48:45,972] INFO [MetadataLoader id=3] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka-3-1  | 2026-09-25T22:48:45.973721249Z [2026-09-25 22:48:45,972] INFO [controller-3-ThrottledChannelReaper-Request]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-3-1  | 2026-09-25T22:48:45.978220247Z [2026-09-25 22:48:45,975] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka-3-1  | 2026-09-25T22:48:46.072074385Z [2026-09-25 22:48:46,071] INFO [RaftManager id=3] Node 3 disconnected. (org.apache.kafka.clients.NetworkClient)
kafka-3-1  | 2026-09-25T22:48:46.072633740Z [2026-09-25 22:48:46,072] INFO [ControllerServer id=3] Waiting for the controller metadata publishers to be installed (kafka.server.ControllerServer)
kafka-3-1  | 2026-09-25T22:48:46.072949558Z [2026-09-25 22:48:46,072] INFO [ControllerServer id=3] Finished waiting for the controller metadata publishers to be installed (kafka.server.ControllerServer)
kafka-3-1  | 2026-09-25T22:48:46.073132480Z [2026-09-25 22:48:46,072] INFO [MetadataLoader id=3] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka-3-1  | 2026-09-25T22:48:46.074129669Z [2026-09-25 22:48:46,073] INFO [SocketServer listenerType=CONTROLLER, nodeId=3] Enabling request processing. (kafka.network.SocketServer)
kafka-3-1  | 2026-09-25T22:48:46.076826154Z [2026-09-25 22:48:46,075] WARN [RaftManager id=3] Connection to node 3 (kafka-3/172.18.0.3:9093) could not be established. Node may not be available. (org.apache.kafka.clients.NetworkClient)
kafka-3-1  | 2026-09-25T22:48:46.080858976Z [2026-09-25 22:48:46,080] INFO Awaiting socket connections on 0.0.0.0:9093. (kafka.network.DataPlaneAcceptor)
